energy,energy_per_atom,volume,formation_energy_per_atom,unit_cell_formula,pretty_formula,elements,nelements,e_above_hull,band_gap,density,total_magnetization,material_id,crystal_system,G_Reuss,G_VRH,G_Voigt,G_Voigt_Reuss_Hill,K_Reuss,K_VRH,K_Voigt,K_Voigt_Reuss_Hill,elastic_anisotropy,C11,C22,C33,C44,C55,C66,C12,C13,C23,homogeneous_poisson,poisson_ratio,universal_anisotropy
-56.36935727,-4.697446439166667,219.29787150584616,-0.31680082416666683,"{'Ba': 1.0, 'Al': 9.0, 'Fe': 2.0}",BaAl9Fe2,"['Ba', 'Al', 'Fe']",3,0.0,0.0,3.7243295679969326,0.0618374,mp-16483,hexagonal,42.0,45.0,48.0,45.0,79.0,79.0,79.0,79.0,0.7,127.0,127.0,126.0,69.0,69.0,31.0,65.0,51.0,51.0,0.26,0.26,0.7
-51.5222501,-4.293520841666667,217.98599636285616,-0.3611211000000001,"{'Ba': 1.0, 'Al': 9.0, 'Ni': 2.0}",BaAl9Ni2,"['Ba', 'Al', 'Ni']",3,0.004534352777781692,0.0,3.790139365775343,0.0044528,mp-12549,hexagonal,45.0,46.0,47.0,46.0,79.0,79.0,79.0,79.0,0.23,136.0,136.0,154.0,52.0,52.0,36.0,64.0,38.0,38.0,0.26,0.26,0.23
-35.67417913,-3.2431071936363636,363.81265267562486,-0.33080511636363624,"{'Ba': 5.0, 'Al': 5.0, 'Pb': 1.0}",Ba5Al5Pb,"['Ba', 'Al', 'Pb']",3,0.0,0.0,4.695459101387768,0.1043479,mp-568809,hexagonal,17.0,17.0,18.0,17.0,28.0,29.0,29.0,29.0,0.09,51.0,51.0,55.0,16.0,16.0,20.0,11.0,20.0,20.0,0.25,0.25,0.09
-24.83971652,-3.5485309314285716,254.77116691504062,-0.5152946300000002,"{'Ba': 3.0, 'Al': 2.0, 'Sn': 2.0}",Ba3(AlSn)2,"['Ba', 'Al', 'Sn']",3,0.006499762499999395,0.0,4.584363067360534,2.44e-05,mp-7377,orthorhombic,19.0,20.0,20.0,20.0,31.0,31.0,31.0,31.0,0.33,52.0,57.0,72.0,15.0,27.0,16.0,19.0,15.0,16.0,0.24,0.24,0.33
-36.14825127,-3.286204660909091,360.95084869351393,-0.34847481727272756,"{'Ba': 5.0, 'Al': 5.0, 'Sn': 1.0}",Ba5Al5Sn,"['Ba', 'Al', 'Sn']",3,0.0,0.0,4.325592625294227,0.029507,mp-570677,hexagonal,18.0,18.0,18.0,18.0,30.0,30.0,30.0,30.0,0.08,54.0,54.0,56.0,17.0,17.0,21.0,12.0,20.0,20.0,0.25,0.25,0.08
-33.52499239,-8.3812480975,62.82220172823097,-0.6707344275000011,"{'Zr': 1.0, 'Al': 1.0, 'Ru': 2.0}",ZrAlRu2,"['Zr', 'Al', 'Ru']",3,0.0,0.0,8.46748867474463,0.0083305,mp-977436,cubic,67.0,68.0,68.0,68.0,202.0,202.0,202.0,202.0,0.08,307.0,307.0,307.0,61.0,61.0,61.0,150.0,150.0,150.0,0.35,0.35,0.08
-30.80162341,-7.7004058525,63.99267637223213,-0.9578319575000007,"{'Zr': 1.0, 'Al': 1.0, 'Rh': 2.0}",ZrAlRh2,"['Zr', 'Al', 'Rh']",3,0.0,0.0,8.407870260654942,0.0748306,mp-977435,cubic,196.0,100.0,3.0,100.0,201.0,201.0,201.0,201.0,-4.92,91.0,91.0,91.0,60.0,60.0,60.0,257.0,257.0,257.0,0.29,0.29,-4.92
-68.97116608,-7.663462897777778,182.7477873220685,-0.3428325383333338,"{'Zr': 6.0, 'Al': 2.0, 'Co': 1.0}",Zr6Al2Co,"['Zr', 'Al', 'Co']",3,0.0,0.0,5.999277919565392,0.2068655,mp-12760,hexagonal,51.0,51.0,51.0,51.0,106.0,106.0,107.0,106.0,0.01,179.0,179.0,174.0,49.0,49.0,51.0,76.0,69.0,69.0,0.29,0.29,0.01
-28.59339411,-7.1483485275,56.24328612757837,-0.5208705150000004,"{'Zr': 1.0, 'Al': 1.0, 'Co': 2.0}",ZrAlCo2,"['Zr', 'Al', 'Co']",3,0.0,0.0,6.969839192516332,1.0137156,mp-3909,cubic,78.0,78.0,79.0,78.0,161.0,161.0,161.0,161.0,0.04,254.0,254.0,254.0,84.0,84.0,84.0,114.0,114.0,114.0,0.29,0.29,0.04
-69.96853434,-7.774281593333334,182.4943737350114,-0.30243131777777893,"{'Zr': 6.0, 'Al': 2.0, 'Fe': 1.0}",Zr6Al2Fe,"['Zr', 'Al', 'Fe']",3,0.0006823062777767674,0.0,5.979508707881815,0.5286687,mp-11038,hexagonal,48.0,48.0,48.0,48.0,105.0,105.0,105.0,105.0,0.0,172.0,172.0,166.0,46.0,46.0,49.0,74.0,71.0,71.0,0.3,0.3,0.0
